,anio,codigo_municipio,municipio,codigo_departamento,departamento,codigo_etc,etc,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,desercion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_primaria,repitencia_secundaria,repitencia_media
0,2023,5001,Medellín,5,Antioquia,3759.0,Medellín,377562.0,96.15,95.94,94.01,83.58,57.69,107.16,105.58,115.53,100.69,5.4,4.85,6.75,3.93,85.37,88.95,77.84,88.8,9.23,6.21,15.4,7.27,9.25,8.34,13.69,4.48
1,2023,5002,Abejorral,5,Antioquia,3758.0,Antioquia (ETC),3634.0,74.38,74.38,74.32,63.78,40.95,81.54,87.91,83.4,69.68,4.15,2.86,6.36,3.03,88.08,89.88,82.7,92.56,7.77,7.26,10.93,4.41,9.07,10.28,11.32,2.2
2,2023,5004,Abriaquí,5,Antioquia,3758.0,Antioquia (ETC),503.0,62.62,62.62,63.33,51.53,40.23,66.8,72.86,66.87,56.32,1.19,1.31,4.085,4.08,92.26,96.73,83.49,93.88,6.55,1.96,16.51,2.04,9.52,10.46,13.76,2.04
3,2023,5021,Alejandría,5,Antioquia,3758.0,Antioquia (ETC),864.0,81.37,81.37,73.21,77.74,73.08,85.19,79.31,90.88,96.15,3.26,1.67,6.02,2.4,88.86,91.3,80.32,95.2,7.88,7.02,13.65,2.4,7.2,7.69,11.65,1.72
4,2023,5030,Amagá,5,Antioquia,3758.0,Antioquia (ETC),5060.0,78.3,78.3,76.96,65.61,38.82,89.21,88.94,94.72,81.27,4.33,3.12,6.32,3.04,84.95,87.25,77.2,91.46,10.71,9.63,16.48,5.5,12.08,11.54,18.48,3.98
5,2023,5031,Amalfi,5,Antioquia,3758.0,Antioquia (ETC),5762.0,70.95,70.95,65.29,59.85,32.71,79.47,81.78,85.23,64.29,2.6,2.37,2.63,4.63,87.43,87.96,84.67,87.92,9.96,9.68,12.7,7.46,10.41,14.87,8.46,2.83
6,2023,5034,Andes,5,Antioquia,3758.0,Antioquia (ETC),7672.0,80.9,80.9,76.57,67.41,37.05,91.44,93.59,99.84,76.9,4.85,3.99,6.28,3.9,87.26,89.09,81.51,92.7,7.89,6.91,12.21,3.4,11.81,12.92,14.98,4.4
7,2023,5036,Angelópolis,5,Antioquia,3758.0,Antioquia (ETC),1017.0,81.32,81.32,79.19,72.51,44.32,99.8,91.15,111.99,105.68,4.48,4.31,5.96,1.8,88.1,93.26,77.48,94.59,7.42,2.43,16.56,3.6,11.31,10.51,18.54,1.72
8,2023,5038,Angostura,5,Antioquia,3758.0,Antioquia (ETC),2401.0,69.26,69.26,67.67,56.49,42.96,76.8,81.78,78.37,69.6,3.97,3.06,5.8,2.99,92.63,91.68,91.74,96.15,3.4,5.26,2.46,0.85,6.97,10.65,4.57,1.71
9,2023,5040,Anorí,5,Antioquia,3758.0,Antioquia (ETC),4477.0,71.72,71.72,69.16,60.85,35.14,76.95,84.79,78.23,58.71,6.07,4.72,9.11,5.38,90.21,91.42,87.13,89.24,3.72,3.86,3.77,5.38,5.81,7.35,5.69,2.2
10,2023,5042,Santafé de Antioquia,5,Antioquia,3758.0,Antioquia (ETC),5023.0,94.33,94.33,87.61,80.36,50.65,102.23,103.04,114.11,81.42,4.13,3.31,6.06,1.64,82.95,87.47,73.34,88.69,12.92,9.23,20.59,9.67,11.32,11.3,15.21,4.92
11,2023,5044,Anza,5,Antioquia,3758.0,Antioquia (ETC),1494.0,81.93,81.93,79.59,68.35,36.21,92.7,98.42,101.01,64.61,5.53,6.11,6.24,2.42,81.85,78.14,79.68,95.16,12.62,15.76,14.09,2.42,9.27,10.77,11.09,2.42
12,2023,5045,Apartadó,5,Antioquia,7692.0,Apartado,28391.0,91.17,91.16,84.45,77.96,58.34,104.53,99.15,112.92,107.81,4.14,3.1,5.63,4.02,87.88,91.41,82.02,86.88,7.98,5.49,12.35,9.1,8.12,7.16,11.94,4.99
13,2023,5051,Arboletes,5,Antioquia,3758.0,Antioquia (ETC),7592.0,89.65,89.65,79.18,76.01,50.17,104.1,98.66,118.04,101.47,3.49,3.06,4.16,4.3,91.17,92.15,88.21,91.8,5.34,4.79,7.63,3.89,9.66,11.09,11.56,4.5
14,2023,5055,Argelia,5,Antioquia,3758.0,Antioquia (ETC),1686.0,75.56,75.56,71.1,72.15,39.11,79.77,81.02,88.27,59.78,4.46,4.37,5.16,4.32,90.04,91.61,86.11,91.36,5.5,4.02,8.73,4.32,7.81,9.09,9.13,3.7
15,2023,5059,Armenia,5,Antioquia,3758.0,Antioquia (ETC),795.0,49.18,49.18,43.15,50.76,26.52,56.1,48.81,72.35,51.52,2.23,2.44,2.44,2.97,88.83,92.68,81.71,96.15,8.93,4.88,15.85,3.85,15.14,4.88,29.88,7.69
16,2023,5079,Barbosa,5,Antioquia,3758.0,Antioquia (ETC),8520.0,81.47,81.47,78.54,69.12,46.36,90.52,89.69,98.55,79.74,5.19,3.98,7.31,3.98,87.09,90.54,79.66,91.05,7.72,5.48,13.03,4.97,9.89,8.83,15.13,3.97
17,2023,5086,Belmira,5,Antioquia,3758.0,Antioquia (ETC),1344.0,84.82,84.82,78.58,73.38,51.75,95.46,89.84,104.33,101.75,3.56,4.24,3.64,3.02,91.71,90.1,89.75,96.98,4.72,5.66,6.61,4.24,7.21,7.88,9.11,4.02
18,2023,5088,Bello,5,Antioquia,3760.0,Bello,86977.0,89.91,89.85,88.65,76.56,48.41,100.04,101.72,107.85,87.47,5.21,4.73,6.35,3.79,84.15,87.01,77.06,88.54,10.64,8.26,16.6,7.66,11.24,9.41,17.38,5.12
19,2023,5091,Betania,5,Antioquia,3758.0,Antioquia (ETC),2143.0,64.54,64.54,63.43,48.09,27.73,70.18,80.7,70.77,47.34,6.27,7.56,5.98,1.99,88.22,86.27,87.18,96.03,5.51,6.16,6.84,1.99,8.08,11.47,6.62,0.66
